participant,start_time,end_time,duration,reps,exercise,pose_valid,pose_frames,pose_movement_mean,pose_movement_std,pose_range_mean,pose_range_max,pose_stability_proxy
w00,4040,4500,460,10,squats,1,460,10.624055265356745,13.800021716073072,1125.1550992656892,2004.1618921877189,7.16458750608942
w00,5435,5928,493,10,squats,1,493,5.9148195429868,8.78590968252982,971.7388477815416,1447.0760989039536,4.242137761845562
w00,7200,7685,485,10,squats,1,485,23.47404831531208,27.291300748307105,1248.176050957902,1869.795261480432,14.174119851260995
w00,8770,9197,427,11,pushups,1,427,2.8875125204245973,2.470769310838451,136.42375212787027,737.8536440243417,2.021300329022665
w00,11160,11586,426,10,pushups,1,426,13.28676659281414,12.600442061745358,534.1072968055535,968.6138492581764,10.560350782513668
w00,13620,14000,380,10,pushups,1,380,12.83418098142408,10.70349282124118,370.9116772922066,656.4472560686045,10.346115967683968
w00,15034,15545,511,10,dumbbell_shoulder_press,1,511,2.3304990748735723,3.069221141323406,109.37502320442329,883.3459118601274,1.8580175158845853
w00,17570,18127,557,10,dumbbell_shoulder_press,1,557,14.557544207287016,16.2891668865643,1045.5663241860746,1455.4144201817423,10.737760130764176
w00,20482,20908,426,9,dumbbell_shoulder_press,1,426,5.709912235642187,6.276162604845528,297.2468027788302,736.1215932167728,3.7934051311066392
w00,22147,22990,843,10,lunges,1,843,11.53870987719025,12.51058616397588,1276.1206502524908,2139.785039895788,8.015689920587624
w00,25391,26226,835,10,lunges,1,835,15.853191644111282,15.004736581890365,976.9052690940975,1444.5303735124437,11.774083056335364
w00,29277,30156,879,10,lunges,1,879,6.768569998768364,8.039501194598937,561.4299887772461,1520.7406090454742,4.381445476318306
w00,31680,32205,525,11,dumbbell_rows,1,525,4.841605834261107,8.715107933008028,504.6007883319773,956.985720744262,3.113383081517026
w00,34605,35060,455,10,dumbbell_rows,1,455,16.443710955506642,20.494975056268974,1227.5759314601714,1670.0888311200574,12.003303463415842
w00,38000,38500,500,11,dumbbell_rows,1,500,25.051016427348028,24.102928053535265,668.3763461005785,1154.4427470141895,20.26552853513293
w00,39430,39994,564,10,situps,1,564,4.466823573481489,6.330622975327861,226.16231117722572,975.144604661278,3.264881913199117
w00,42068,42630,562,10,situps,1,562,9.68291263208384,9.260257199781302,492.5440164456497,971.6805030461402,8.180652058143998
w00,44223,44850,627,10,situps,1,627,2.2645247476715435,2.5675284981818773,126.99419558493888,1084.2638055381171,1.7870769256414716
w00,46229,46625,396,10,tricep_extensions,1,396,13.65033360024623,14.476229571925014,986.9392052144055,1626.343881568351,9.293202700306423
w00,47389,47712,323,10,tricep_extensions,1,323,6.40268808663625,6.497242496855519,322.3563377797748,587.1172778722823,4.376207807148084
w00,49341,49663,322,10,tricep_extensions,1,322,14.007753580365806,15.97407282354814,987.1539567754388,1768.291106025311,10.709279202004012
w00,50955,51469,514,10,bicep_curls,1,514,11.098320914840468,13.901049017131776,530.7581979500927,1037.179451809689,7.746337944035749
w00,52054,52528,474,10,bicep_curls,1,474,2.5819902099079552,3.411253072395432,108.75682814821089,819.2600319800789,2.0018987265121653
w00,52966,53405,439,10,bicep_curls,1,439,2.85945314166034,3.424742367143092,111.16541269166784,758.6382537151683,2.2282584695222307
w00,54880,55303,423,10,lateral_shoulder_raises,1,423,2.8977262908413355,3.3358021748495013,104.69592301318134,730.9254407940662,2.336137199681526
w00,57634,58061,427,10,lateral_shoulder_raises,1,427,8.160168570680701,9.280286364507749,570.7321772416908,1075.3813849780663,5.423439243681352
w00,59858,60277,419,10,lateral_shoulder_raises,1,419,5.297169786626875,5.8065445260274045,353.1274988885928,790.8851255712246,3.3219342570701733
w00,61147,61432,285,11,jumping_jacks,1,285,9.61335306781285,9.291691461871658,401.2696116438196,803.9426947665147,6.333716093583344
w01,2113,2598,485,10,squats,1,485,4.595394794783247,5.973258198739504,310.80187189968586,838.3125908633366,2.8635124122533364
w01,3210,3737,527,10,squats,1,527,17.583904132495093,19.189737348293693,681.926898556086,953.9293072744086,12.481737460154417
w01,5086,5615,529,10,squats,1,529,5.256311160330958,5.905480999196738,409.2193549468884,914.5228263963672,3.704592091173083
w01,11960,12316,356,10,pushups,1,356,5.791429198114665,5.064683308714967,303.8874608687451,614.8780366869514,4.11538099066181
w01,15150,15604,454,10,pushups,1,454,5.473750951355813,5.750308365079391,315.3661613201432,784.6190158287014,3.706788142752995
w01,18065,18545,480,10,pushups,1,480,11.23509048758605,17.763827509564234,961.721570790746,1297.8419580003958,7.449510805470489
w01,20509,21307,798,11,dumbbell_shoulder_press,1,798,20.90999528704412,62.10145316479588,959.10716493647,1418.577690537556,13.768768952496297
w01,21864,22424,560,10,dumbbell_shoulder_press,1,560,14.505617071518206,20.122986185302302,906.3304147952168,1402.5483339930304,9.821298354973514
w01,22819,23491,672,11,dumbbell_shoulder_press,1,672,15.908234092708172,16.431971044365174,1090.0292194743224,1801.1898277814266,11.787099849726085
w01,24360,25215,855,10,lunges,1,855,4.116286513203913,4.752739239373771,386.3660064878006,1479.1713896638212,2.8357462095257837
w01,29060,29765,705,10,lunges,1,705,4.056758729475653,4.855714250309006,317.8034210131844,1219.3637685284896,2.791936468383012
w01,33364,34129,765,10,lunges,1,765,15.180272803733192,16.933539043302222,815.886298444099,1458.0212120569756,12.863751647895809
w01,34650,35244,594,10,situps,1,594,17.576327291764557,17.79628208914267,546.0787918837894,1027.1061288883443,14.962830285058969
w01,35503,36070,567,10,situps,1,567,10.358019245514017,10.7289865706829,939.4383126651226,1512.3844989503032,7.676500253185531
w01,36684,37260,576,10,situps,1,576,11.688945455272783,15.401758021015684,1046.378996638526,1727.347789359586,8.289509353200824
w01,37940,38553,613,10,dumbbell_rows,1,613,11.149977824474629,14.935103084062687,1093.7133172838164,1870.2003954917725,7.63346063366557
w01,39171,39797,626,10,dumbbell_rows,1,626,3.8502781796470167,4.814076313371135,384.2087125351277,1082.5317547305483,2.585009523889174
w01,40294,40914,620,10,dumbbell_rows,1,620,4.163008835228403,5.469626885359059,358.96597741048595,1072.139449885135,2.689054621548911
w01,46449,46981,532,10,dumbbell_rows,1,532,8.377209253193124,9.478604476804492,691.4796780181109,919.718978819074,6.09208942747762
w01,47520,48160,640,10,tricep_extensions,1,640,8.631195350689984,14.712899942067226,635.4251624058056,1106.7804660365125,6.856662573895131
w01,49681,50310,629,10,tricep_extensions,1,629,4.070836360605069,5.655299904225809,234.72795700515496,1087.727907153255,3.0952323548327296
