participant,start_time,end_time,duration,reps,exercise,sw_l_acc_valid,sw_l_acc_count,sw_l_acc_mag_mean,sw_l_acc_mag_std,sw_l_acc_mag_min,sw_l_acc_mag_max,sw_l_acc_x_mean,sw_l_acc_y_mean,sw_l_acc_z_mean,sw_l_acc_x_std,sw_l_acc_y_std,sw_l_acc_z_std,sw_r_acc_valid,sw_r_acc_count,sw_r_acc_mag_mean,sw_r_acc_mag_std,sw_r_acc_mag_min,sw_r_acc_mag_max,sw_r_acc_x_mean,sw_r_acc_y_mean,sw_r_acc_z_mean,sw_r_acc_x_std,sw_r_acc_y_std,sw_r_acc_z_std,sw_l_gyr_valid,sw_l_gyr_count,sw_l_gyr_mag_mean,sw_l_gyr_mag_std,sw_l_gyr_mag_min,sw_l_gyr_mag_max,sw_l_gyr_x_mean,sw_l_gyr_y_mean,sw_l_gyr_z_mean,sw_l_gyr_x_std,sw_l_gyr_y_std,sw_l_gyr_z_std,sw_r_gyr_valid,sw_r_gyr_count,sw_r_gyr_mag_mean,sw_r_gyr_mag_std,sw_r_gyr_mag_min,sw_r_gyr_mag_max,sw_r_gyr_x_mean,sw_r_gyr_y_mean,sw_r_gyr_z_mean,sw_r_gyr_x_std,sw_r_gyr_y_std,sw_r_gyr_z_std
w00,4040,4500,460,10,squats,1,1549,10.498885575889357,4.623196070682453,1.9075019350128721,21.384921375970567,5.661586749104197,-2.511989055496643,7.9041708922337,3.950158941680386,1.6679271080564226,3.5178448963907867,1,1564,10.320502441815636,4.627052202071402,1.6690985175834363,21.826749111889647,-6.127342278454156,-3.101856690695013,6.957492209424553,3.9880575329160814,2.047332931942914,3.5005244665628488,1,1549,1.2211978313841612,0.8424952070403786,0.05281774906724159,3.878390313311444,-0.087485016941898,0.02893346926352485,0.006149663769270501,1.0572175616683712,0.6907204252830415,0.7731688343840327,1,1564,1.2907871924217849,0.8716493345399842,0.05659833890413647,3.661418174540944,-0.03856571026321611,-0.03661717874226343,-0.06111114332642581,1.076159318428379,0.5066386101793131,1.0022673669902853
w00,5435,5928,493,10,squats,1,1731,10.423421691206968,4.303235047138022,1.516465456191234,21.139240396818526,5.19749976452594,-2.805417527337897,7.74169966090699,3.921032890145362,2.4600855426057273,3.30465533399056,1,1748,10.287871673640897,4.363827284952361,1.3149748583074443,21.20833136017771,-5.760340096029347,-3.722727817915904,6.576829406805721,4.203814594603794,2.5915922771547706,3.193740596064829,1,1732,1.3762372667764422,1.025419115528741,0.03603585865370077,4.795220617690616,-0.07002093027032331,-0.04167072829272517,-0.0620020943091224,1.186895878536335,0.7846505309048172,0.9542701162926578,1,1748,1.3870893111262559,1.037200137572924,0.03887014019206749,5.7209679982392805,0.0005569505281636105,0.013221602732837559,0.028062978871744852,1.1136005476069828,0.6128580528978628,1.1760684750616355
w00,7200,7685,485,10,squats,1,1672,10.359495422029207,4.001607521007705,1.283437836309395,20.889378395075767,5.583718974700957,-3.293617540697488,7.4530418313217695,3.5363074011570435,2.176133601130409,2.918443769121629,1,1688,10.232850452206915,4.127098989159187,1.4760531890000677,20.727706248957595,-6.016001294622038,-3.97598514544846,6.351094050373224,3.9034306959530474,2.4786222773487516,2.8331448535620365,1,1672,1.30979024639556,0.9184350979782255,0.020479926713855692,4.32157535929968,-0.06426796813564595,-0.0037280300726076398,0.00843519803397128,1.1082244050227763,0.6354362752000792,0.9606859552010731,1,1688,1.4072552825795759,0.9715270267087377,0.02817817354810608,4.656650211860433,-0.012667309692891008,-0.03184862400885663,-0.030787130292180106,1.1884484911089919,0.5765203395532922,1.0850456363941645
w00,8770,9197,427,11,pushups,1,1468,9.831660282769791,0.6684318177963705,2.5989240396870428,20.580877993246165,-8.919560526430518,-1.2322245503415532,3.4443531092997275,0.6959841381253239,1.3866109943941378,1.3269345770889227,1,1483,9.922309032610716,0.5443274686118547,5.503842050775842,15.72752129995247,8.365146275576533,-2.30929149494673,4.472351137376938,0.7117806364340339,1.3737020309597594,1.0219568831541583,1,1469,0.8467287971270803,0.421151803609086,0.021160984331311243,2.328271596485747,-0.012787829261946904,-0.007354498493669163,-0.02024711815425459,0.3309605779045916,0.6009318057774085,0.6504129420812149,1,1483,0.755568825689504,0.44397421680333765,0.02522103476118664,2.2378348126703234,-0.003545071952960217,0.005700282681254211,0.008785108026911669,0.24833735373728688,0.49223683820409064,0.6811068715794257
w00,11160,11586,426,10,pushups,1,1466,9.800153406432075,0.4791943416688927,6.829455857108677,12.491890821227322,-9.141678867803547,-1.8483474134742839,2.2438082902355387,0.4606294252794564,1.4638482916365096,1.3770426253593442,1,1481,9.888770416866405,0.41402108532515147,7.8320226028067985,11.852298020168082,8.631010353274814,-2.772198836653815,3.5302346859824443,0.5946061721436285,1.3818019584578238,1.0267802188596409,1,1466,0.7172209299903161,0.3843241440362466,0.026598944855662977,2.593786135167397,-0.018249280063028655,-0.005011926328649384,-0.017476739399317875,0.3056157107514295,0.5062656308308355,0.5583381291281726,1,1481,0.6489438382215591,0.3723223503109776,0.03587456451593417,2.122631218553713,-0.006305546615941931,0.0026326083844699514,-0.0024778408119513783,0.23081457061526142,0.407293876952087,0.5835542299184616
w00,13620,14000,380,10,pushups,1,1308,9.789153688443367,0.41919063950599894,7.495076312815794,12.328754424377225,-9.165582652675841,-1.0992645740705658,2.7581196248568043,0.42717888089512807,1.2398174484669733,1.2083500298128689,1,1322,9.869935008125582,0.3821322214787874,8.382936143052277,11.827387270721205,8.47078407473525,-2.3348198542208776,4.298940679273827,0.5078774658304106,1.023242052345069,0.7551296080554223,1,1308,0.7367688774113619,0.3600613139463285,0.05276120052677786,2.6659982511369322,-0.009641206280733944,-0.003224321614831803,-0.021067370324159014,0.2934037776612265,0.5350377561136911,0.5473336899085457,1,1322,0.6220763511239032,0.3361664226784311,0.019757155727196715,2.8004413775468056,-0.0009268501626172468,0.007067480104500758,0.005940281549273827,0.2213071092129455,0.3695067201244452,0.5607037562631373
w00,15034,15545,511,10,dumbbell_shoulder_press,1,1856,10.101446433970828,3.109616751500129,3.6259283743710222,26.53017192940623,9.445618050808191,2.913687201283944,0.039093275137715516,2.9479672450478844,1.7772768749833077,1.4659163272595666,1,1874,9.972343718232729,2.990859280535567,4.888520736468895,29.321094896255268,-9.071378403628604,3.583748136114728,-0.6648492708915155,2.7664905105147155,1.8786168369865537,1.2786813941064512,1,1856,0.54686394903125,0.3032255150798,0.040905155448085526,2.6489731075607486,-0.01801920146206897,-0.02418248674698276,-0.02065289822650862,0.3119682924671071,0.39517586449261594,0.36902802857151873,1,1874,0.5529230170958702,0.35151201807147847,0.011332175780598489,4.293967083074404,-2.1798192998927766e-05,0.025645846540074704,0.007903726001654215,0.43021824223683547,0.3666109765892778,0.3302620758872556
w00,17570,18127,557,10,dumbbell_shoulder_press,1,1913,9.998211526718194,3.014888193241105,3.3138019416878364,34.27155319822488,9.348098411029795,3.017017373899634,-0.11235684445781492,2.8373512795222826,1.6217247589324826,1.3679434478066959,1,1931,9.8622460110913,2.7431401220355762,4.950529381034967,25.921638409030784,-9.04754822732263,3.3914209790366137,-0.6943597268518902,2.6878450094497293,1.5341997928368438,1.1698007096043208,1,1913,0.587936507861435,0.3491281403807607,0.020948305724153446,3.064654977482759,-6.833496874019627e-05,-0.0223232360869838,-0.01958599883084161,0.36984905563679693,0.41835197336683955,0.39353672664365547,1,1931,0.5818276672205551,0.3885137903685249,0.013182980452327036,3.907752238310308,0.017699554141667528,0.034033736898964266,0.010229992789181772,0.4362878170251313,0.4092047542158226,0.3606862726468202
w00,20482,20908,426,9,dumbbell_shoulder_press,1,1551,10.161724977020762,3.469875081631916,2.937522687738529,28.324828123494378,9.217332659432625,3.4532708717248877,-0.16933916016350745,3.2145596064118944,2.1296412348956517,1.8758852627181368,1,1566,9.961769514005834,3.1100183694136234,4.472053055642117,27.91466572822622,-9.041527945913156,3.563778510248404,-0.27366999341973186,2.903574518363404,1.984840115378424,1.4191866363612229,1,1551,0.6449277604086016,0.3644852956243512,0.05035840054254281,3.249097686425137,-0.0115753211526757,-0.01357136491901999,-0.024523610993165697,0.43031537742311626,0.44129093731955543,0.40982039232224343,1,1565,0.6415687164477397,0.38929420976834417,0.011719643064148159,3.612532917719421,-0.0007980007093738068,0.02770162305523962,-0.002333603062127791,0.5218341694443789,0.3706770796585294,0.3907358947823978
w00,22147,22990,843,10,lunges,1,2899,9.962416195775313,1.7433759544628338,5.230760171539438,19.77306466482856,-9.506497158537428,-1.9351576895927907,1.079793652528182,2.0092909415060576,1.5263973930438877,0.7985482117102121,1,2927,10.08628141221296,1.8970226431685617,4.371994048402354,18.290097508803562,9.606153723436966,-2.188205150340075,0.8943954122988724,2.2003342928859695,1.4056477936467473,0.8050320633334703,1,2899,0.5010692750841308,0.23748891869297536,0.02400318646452052,1.3777653931979492,-0.00946366632438772,-0.008369208868230425,-0.02310582714142808,0.26912478986948674,0.16673667712761883,0.45447623593337727,1,2927,0.5387169214856233,0.2888856551501688,0.03190534064482208,1.5869524660744643,-0.0012686418716535734,0.006356088184882132,-0.001059474227977455,0.2589334428193763,0.23695484794018773,0.5004333958470243
